,id,0,1,2,3,4,5,6,7,8,9,10,11,total,percent
0,8,1,0.8,1.0,1.0,1.0,1.0,0.8,0.7142857142857143,0.5,0.75,1.0,1.0,10.564285714285713,88.03571428571428
1,9,1,0.7,1.0,1.0,0.5,1.0,0.8,0.7142857142857143,0.8333333333333334,0.75,0.75,1.0,10.047619047619047,83.73015873015873
2,10,1,0.5,1.0,0.75,1.0,0.75,0.9,0.5714285714285714,0.8333333333333334,0.75,0.25,0.75,9.054761904761904,75.45634920634919
3,11,1,0.6,1.0,1.0,1.0,1.0,0.8,0.5714285714285714,0.8333333333333334,0.75,0.75,1.0,10.304761904761904,85.87301587301587
