,id,0,1,2,3,total,percent
0,0,1.0,1.0,1.0,1.0,4.0,100.0
1,1,1.0,1.0,1.0,1.0,4.0,100.0
2,2,1.0,1.0,1.0,1.0,4.0,100.0
3,3,1.0,1.0,1.0,1.0,4.0,100.0
